"","Key","mean","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM"
"86","QBjoecallahan",NA,NA,NA,NA,"16502-70446","Joe Callahan","QB","FanDuel","","",0,5000,"GB","NYG",TRUE,"joecallahan"
"142","RBchristianpowell",NA,NA,NA,NA,"16502-26657","Christian Powell","RB","FanDuel","","",0,4500,"PIT","NYJ",TRUE,"christianpowell"
"144","RBcjham",NA,NA,NA,NA,"16502-70501","C.J. Ham","RB","FanDuel","","",0,4500,"MIN","HOU",TRUE,"cjham"
"161","RBdjfoster",NA,NA,NA,NA,"16502-29183","D.J. Foster","RB","FanDuel","","",1.399999976,4700,"NE","CLE",FALSE,"djfoster"
"164","RBdonjackson",NA,NA,NA,NA,"16502-43504","Don Jackson","RB","FanDuel","","",0,4500,"GB","NYG",TRUE,"donjackson"
"166","RBdukejohnsonjr",NA,NA,NA,NA,"16502-25837","Duke Johnson Jr.","RB","FanDuel","","",8.324999809,5300,"CLE","NE",TRUE,"dukejohnsonjr"
"172","RBgeorgeatkinsoniii",NA,NA,NA,NA,"16502-33571","George Atkinson III","RB","FanDuel","","",0,4500,"CLE","NE",TRUE,"georgeatkinsoniii"
"179","RBjalenrichard",NA,NA,NA,NA,"16502-33578","Jalen Richard","RB","FanDuel","","",6.699999809,4900,"OAK","SD",TRUE,"jalenrichard"
"232","RBpatrickskov",NA,NA,NA,NA,"16502-29768","Patrick Skov","RB","FanDuel","","",0,4500,"CLE","NE",TRUE,"patrickskov"
"240","RBrobkelley",NA,NA,NA,NA,"16502-33766","Rob Kelley","RB","FanDuel","","",0.550000012,4700,"WAS","BAL",FALSE,"robkelley"
"244","RBroyhelujr",NA,NA,NA,NA,"16502-14305","Roy Helu Jr.","RB","FanDuel","","",2.737499952,4500,"OAK","SD",TRUE,"royhelujr"
"248","RBsilasreddjr",NA,NA,NA,NA,"16502-29672","Silas Redd Jr.","RB","FanDuel","O","Suspension",0,4500,"WAS","BAL",FALSE,"silasreddjr"
"251","RBtaiwanjones",NA,NA,NA,NA,"16502-14319","Taiwan Jones","RB","FanDuel","Q","Knee",0.633333325,4500,"OAK","SD",TRUE,"taiwanjones"
"253","RBterrellwatson",NA,NA,NA,NA,"16502-64104","Terrell Watson","RB","FanDuel","","",0,4500,"CLE","NE",TRUE,"terrellwatson"
"261","RBtroymainepope",NA,NA,NA,NA,"16502-72676","Troymaine Pope","RB","FanDuel","","",0,4500,"NYJ","PIT",FALSE,"troymainepope"
"268","TEajderby",NA,NA,NA,NA,"16502-39305","A.J. Derby","TE","FanDuel","","",0,4500,"NE","CLE",FALSE,"ajderby"
"272","TEanthonynorris",NA,NA,NA,NA,"16502-70423","Anthony Norris","TE","FanDuel","","",0,4500,"DEN","ATL",TRUE,"anthonynorris"
"277","TEbeaubrinkley",NA,NA,NA,NA,"16502-22244","Beau Brinkley","TE","FanDuel","","",0,4500,"TEN","MIA",FALSE,"beaubrinkley"
"279","TEbensonbrowne",NA,NA,NA,NA,"16502-25356","Benson Browne","TE","FanDuel","","",0,4500,"LA","BUF",TRUE,"bensonbrowne"
"290","TEcolewick",NA,NA,NA,NA,"16502-70457","Cole Wick","TE","FanDuel","","",0.933333317,4500,"DET","PHI",TRUE,"colewick"
"296","TEdavidmorgan",NA,NA,NA,NA,"16502-48482","David Morgan","TE","FanDuel","Q","Knee",0,4500,"MIN","HOU",TRUE,"davidmorgan"
"310","TEhenrykriegercoble",NA,NA,NA,NA,"16502-27918","Henry Krieger-Coble","TE","FanDuel","","",0,4500,"DEN","ATL",TRUE,"henrykriegercoble"
"332","TEkevinmcdermott",NA,NA,NA,NA,"16502-29854","Kevin McDermott","TE","FanDuel","","",0,4500,"MIN","HOU",TRUE,"kevinmcdermott"
"347","TEmikemiller",NA,NA,NA,NA,"16502-70373","Mike Miller","TE","FanDuel","","",0,4500,"IND","CHI",TRUE,"mikemiller"
"349","TEmjmcfarland",NA,NA,NA,NA,"16502-32309","M.J. McFarland","TE","FanDuel","","",0,4500,"PHI","DET",FALSE,"mjmcfarland"
"353","TEnicktruesdell",NA,NA,NA,NA,"16502-72262","Nick Truesdell","TE","FanDuel","","",0,4500,"IND","CHI",TRUE,"nicktruesdell"
"355","TEpaullang",NA,NA,NA,NA,"16502-28126","Paul Lang","TE","FanDuel","","",0,4500,"PIT","NYJ",TRUE,"paullang"
"364","TEryanomalley",NA,NA,NA,NA,"16502-70506","Ryan O'Malley","TE","FanDuel","","",0,4500,"OAK","SD",TRUE,"ryanomalley"
"408","WRcanaanseverin",NA,NA,NA,NA,"16502-25463","Canaan Severin","WR","FanDuel","IR","Undisclosed",0,4500,"PIT","NYJ",TRUE,"canaanseverin"
"412","WRchesterrogers",NA,NA,NA,NA,"16502-70372","Chester Rogers","WR","FanDuel","","",1.633333365,4500,"IND","CHI",TRUE,"chesterrogers"
"421","WRdanielanthrop",NA,NA,NA,NA,"16502-28735","Daniel Anthrop","WR","FanDuel","","",0,4500,"IND","CHI",TRUE,"danielanthrop"
"442","WRdurronneal",NA,NA,NA,NA,"16502-27439","Durron Neal","WR","FanDuel","","",0,4500,"DEN","ATL",TRUE,"durronneal"
"459","WRjalinmarshall",NA,NA,NA,NA,"16502-38790","Jalin Marshall","WR","FanDuel","Q","Shoulder",1.633333365,4700,"NYJ","PIT",FALSE,"jalinmarshall"
"474","WRjoshuabellamy",NA,NA,NA,NA,"16502-22336","Joshua Bellamy","WR","FanDuel","","",0,4500,"CHI","IND",FALSE,"joshuabellamy"
"488","WRkieranduncan",NA,NA,NA,NA,"16502-70553","Kieran Duncan","WR","FanDuel","","",0,4500,"CHI","IND",FALSE,"kieranduncan"
"502","WRmarvinjonesjr",NA,NA,NA,NA,"16502-22103","Marvin Jones Jr.","WR","FanDuel","Q","Foot",17.92499924,7800,"DET","PHI",TRUE,"marvinjonesjr"
"503","WRmatthewslater",NA,NA,NA,NA,"16502-7856","Matthew Slater","WR","FanDuel","","",0,4500,"NE","CLE",FALSE,"matthewslater"
"506","WRmikethomas",NA,NA,NA,NA,"16502-55694","Mike Thomas","WR","FanDuel","","",0,4500,"LA","BUF",TRUE,"mikethomas"
"509","WRmosefrazier",NA,NA,NA,NA,"16502-33424","Mose Frazier","WR","FanDuel","","",0,4500,"DEN","ATL",TRUE,"mosefrazier"
"527","WRrobbyanderson",NA,NA,NA,NA,"16502-26251","Robby Anderson","WR","FanDuel","","",3.299999952,4500,"NYJ","PIT",FALSE,"robbyanderson"
"535","WRstevesmithsr",NA,NA,NA,NA,"16502-6735","Steve Smith Sr.","WR","FanDuel","","",11.52499962,6300,"BAL","WAS",TRUE,"stevesmithsr"
"541","WRterrellepryorsr",NA,NA,NA,NA,"16502-15212","Terrelle Pryor Sr.","WR","FanDuel","","",13.35000038,7200,"CLE","NE",TRUE,"terrellepryorsr"
"542","WRtevinjones",NA,NA,NA,NA,"16502-33403","Tevin Jones","WR","FanDuel","","",0,4500,"HOU","MIN",FALSE,"tevinjones"
"551","WRwaltpowell",NA,NA,NA,NA,"16502-54621","Walt Powell","WR","FanDuel","","",4.25,4500,"BUF","LA",FALSE,"waltpowell"
